category,specification,ownership_pct,mean_alpha
Quadrature,n_quad=3,26.39,0.066429
Quadrature,n_quad=5,28.16,0.083301
Quadrature,n_quad=7,26.28,0.071141
Quadrature,n_quad=9,25.47,0.071796
Quadrature,n_quad=11,25.75,0.076851
Quadrature,n_quad=13,25.65,0.078399
Quadrature,n_quad=15,25.47,0.078402
Grid (5-node),Grid 40x15 (5-node),34.15,0.119139
Grid (5-node),Grid 60x20 (5-node),30.22,0.094740
Grid (5-node),Grid 80x30 (5-node),28.16,0.083301
Grid (5-node),Grid 100x40 (5-node),27.77,0.079001
Grid (5-node),Grid 120x50 (5-node),27.28,0.078406
Grid (9-node),Grid 60x20 (9-node),27.10,0.082040
Grid (9-node),Grid 80x30 (9-node),25.47,0.071796
Grid (9-node),Grid 100x40 (9-node),24.30,0.067988
Grid (9-node),Grid 120x50 (9-node),24.23,0.067595
Reference,Grid 120x50 (11-node),24.26,0.071219
