wealth,health,cev_No_bequest,alpha_No_bequest,cev_Moderate_(DFJ),alpha_Moderate_(DFJ),cev_Strong_bequest,alpha_Strong_bequest
10000,Good,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
10000,Fair,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
10000,Poor,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
25000,Good,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
25000,Fair,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
25000,Poor,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
50000,Good,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
50000,Fair,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
50000,Poor,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
100000,Good,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
100000,Fair,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
100000,Poor,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
200000,Good,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
200000,Fair,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
200000,Poor,0.000000,0.0000,0.000000,0.0000,0.000000,0.0000
500000,Good,0.031995,0.4900,0.002389,0.2000,0.000000,0.0000
500000,Fair,0.029608,0.4900,0.000673,0.1400,0.000000,0.0000
500000,Poor,0.025029,0.4900,0.000000,0.0000,0.000000,0.0000
1000000,Good,0.077153,0.6900,0.008561,0.1900,0.000000,0.0000
1000000,Fair,0.070653,0.6900,0.005897,0.1900,0.000000,0.0000
1000000,Poor,0.058730,0.4800,0.001398,0.1100,0.000000,0.0000
