priority,manuscript_location,issue,recommended_change,suggested_replacement_or_action
P0,"paper/main.tex:65","`poterbaventiwise2011` does not support the `3--6%` ownership-rate claim.","Remove `poterbaventiwise2011` from this sentence unless a direct ownership-rate source is added.","Replace with: `Broader survey evidence indicates that voluntary annuitization is extremely rare in retirement data \\citep{dushiwebb2004}.` If you want to keep the exact `3--6%` range, add a source that directly reports that range."
P0,"paper/main.tex:69; paper/main.tex:379; paper/main.tex:542","The manuscript overstates that Pashchenko omitted the health-mortality channel.","Rewrite these omission claims so they do not mischaracterize `pashchenko2013`.","Safe wording: `Neither paper nests all of the channels emphasized here simultaneously. In particular, \\citet{peijnenburg2016} omit health-cost risk, and neither paper combines the Reichling--Smetters mechanism with subjective survival pessimism in a unified decomposition.`"
P0,"paper/main.tex:73; paper/main.tex:292; paper/main.tex:323; paper/appendix.tex:354","The manuscript attributes a `1--3` risk-aversion range to `chetty2006`, which the audit did not support.","Remove the `1--3` framing unless you add and verify the original Chetty source.","Replace with manuscript-owned wording such as: `I set \\gamma = 2.5, a moderate lifecycle calibration close to \\citet{lockwood2012}'s value of 2, and report broad sensitivity over \\gamma \\in \\{1.5, 2.0, 2.5, 3.0, 4.0\\}.`"
P0,"paper/main.tex:176; paper/main.tex:312; paper/main.tex:383","The manuscript attributes a fixed cost of `\$1,000` to `lockwood2012`, but the local source text supports a `\$2,000` experiment instead.","Either change the calibrated fixed cost to match the cited source, or keep `\$1,000` and remove the Lockwood attribution.","Best low-risk fix: keep the model at `\$1,000`, but relabel it as the paper's baseline assumption and remove the Lockwood citation from Table 1. Example: `I impose a baseline fixed purchase cost of \$1,000.`"
P0,"paper/main.tex:79; paper/bibliography.bib","`tharpforthcoming` is cited in the manuscript but no such bibliography key exists.","Standardize on the existing `tharp2025survey` key or add a matching alias entry.","Simplest fix: change `\\citet{tharpforthcoming}` to `\\citet{tharp2025survey}` in `paper/main.tex:79`."
P1,"paper/main.tex:67","`hosseini2015` could not be verified locally because no matching source file was present in `potential references/`.","Either add the missing reference file and re-check the sentence, or drop the Hosseini clause from the introduction.","Low-risk fallback: keep the pricing-load sentence anchored to `mitchell1999`, `wettstein2021`, and `finkelsteinpoterba2002`, and remove `; \\citet{hosseini2015} showed ...` until the source is locally verified."
P1,"paper/main.tex:110; paper/main.tex:112; paper/main.tex:325; paper/appendix.tex:183; paper/appendix.tex:187; paper/appendix.tex:192","The prose implies that Lockwood directly reports the exact bequest parameter pair and the portability logic, but the local text only supports the broader calibration lineage.","Reframe these statements as the present paper's implementation following Lockwood, not as exact numeric quotations from Lockwood.","Example: `I use a DFJ-style luxury-good bequest calibration following \\citet{lockwood2012}. The specific parameter values used here are the implementation values in this replication package; the portability checks across \\gamma are the author's own exercises.`"
P1,"paper/main.tex:138; paper/main.tex:145; paper/appendix.tex:105","The O'Dea-Sturrock discussion is too exact about `71%` vs `86%` and `\\psi = 0.981`.","Keep the survival-pessimism mechanism, but label the exact `\\psi` mapping as the paper's calibration rather than the source paper's estimate.","Example: `\\citet{odeasturrock2023} document survival pessimism on the order of 15--20 percentage points at relevant horizons. I calibrate \\psi = 0.981 to match a representative 15 percentage-point 10-year gap.`"
P1,"paper/main.tex:154; paper/main.tex:345","The manuscript mixes out-of-pocket and combined medical-spending moments from `jones2018`.","Clarify which numbers are OOP and which are combined with Medicaid-financed care.","Suggested wording: `The calibration matches the age profiles in \\citet{jones2018}: mean out-of-pocket spending is about \$4,200 at age 70, while combined medical spending rises to about \$29,700 at age 100, with a 95th percentile around \$111,200.`"
P1,"paper/main.tex:156; paper/main.tex:309","The `SSI + state supplement` description is more specific than the local Lockwood source text supports.","Keep the `\$6,180` floor, but cite it more generically as the consumption-floor value used by Lockwood.","Replace with: `This floor is set to \$6,180, following the consumption-floor value used in \\citealp{lockwood2012}.` In Table 1, change `SSI + state supplement` to `Lockwood (2012) floor calibration`."
P1,"paper/main.tex:174; paper/main.tex:523; paper/appendix.tex:347","The manuscript overstates `wettstein2021` as supporting a central MWR of `0.85` and an unsourced `0.87` figure for 2024 conditions.","Soften the wording unless you add a direct current-market source.","Safer wording: `More recent evidence suggests some improvement and substantial time variation in immediate-annuity values \\citep{wettstein2021}.` Remove the `0.87` / `2024 market conditions` sentence unless a direct source is added."
P1,"paper/main.tex:521; paper/main.tex:446","The trust-fund exhaustion claim is uncited.","Add a current SSA Trustees Report citation or soften the sentence.","Safe fallback: `Projected trust-fund depletion within the next decade could generate a substantial shift in private annuity demand.` Better fix: cite the relevant SSA Trustees Report directly."
P1,"paper/main.tex:527","The framing-effect sentence compresses several Brown et al. comparisons into a `50--70%` summary that is looser than the source.","Either quote one exact experimental comparison or soften to `substantially increases stated demand`.","Example: `\\citet{brown2008framing} show that consumption framing can shift stated annuity demand dramatically; in one experiment, annuity choice rises from 21% to 72%.`"
P1,"paper/main.tex:527","The Chalmers-Reuter sentence overstates the Oregon evidence as `near-zero voluntary annuitization ... even when the annuity was actuarially favorable`.","Narrow the claim to what the paper clearly supports.","Example: `\\citet{chalmersreuter2012} document extremely low demand for a fixed-annuity default in an Oregon public employee plan, illustrating the practical importance of defaults and framing.`"
P1,"paper/main.tex:529","The LTC sentence makes the interaction with this paper's medical-expenditure channel sound source-backed rather than interpretive.","Mark the interaction as the current paper's inference.","Example: `\\citet{ameriks2020} document the importance of long-term-care concerns in late-life saving decisions, a mechanism conceptually complementary to the medical-expenditure channel modeled here.`"
P1,"paper/main.tex:531; paper/appendix.tex:224","The DIA paragraph overstates exact MWR values and says DIA ownership is similar to SPIA rates without source support.","Separate the model's DIA result from the literature summary, and soften the exact MWR numbers unless verified from the original table.","Example: `Deferred products offer stronger late-life insurance, but available evidence suggests lower money's worth than immediate annuities, offsetting part of that actuarial advantage \\citep{wettstein2021}. In the model extension reported here, DIA ownership remains low.`"
P2,"paper/appendix.tex:46","The citation makes the 5-to-3 health mapping and linear interpolation sound as if they come directly from `denardi2010`.","Keep the De Nardi citation for the HRS-based health-transition motivation, but mark the mapping and interpolation as implementation choices.","Example: `Following the HRS-based health-transition framework in \\citet{denardi2010}, I implement a three-state approximation and linearly interpolate between anchor-age matrices.`"
P2,"paper/appendix.tex:78","The appendix claims the survival inputs are taken directly from `BAP_sim2.m`, which is not supported by the cited paper.","Remove the replication-code attribution unless you cite the code directly as a separate artifact.","Example: `Baseline survival probabilities use the SSA administrative period life table employed by \\citet{lockwood2012}; in the implementation, cumulative death probabilities are interpolated linearly across ages.`"
P2,"paper/appendix.tex:343","The hazard-multiplier uncertainty range is more specific than the cited Reichling-Smetters text.","Present the exact bounds as the current paper's uncertainty range, informed by Reichling-Smetters.","Example: `The uncertainty range is chosen to span conservative SRH-based estimates and the more severe functional-limitation states discussed by \\citet{reichlingsmetters2015}.`"
P2,"paper/bibliography.bib; potential references/","Source-library coverage is incomplete for several cited works.","Add local `.txt` or `.pdf` copies for the missing papers before the next audit pass.","Highest-value additions: `chetty2006`, `hosseini2015`, `james2006`, and `ameriks2020`."
